order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,qunatity,price
SO43957,48,17069,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43958,47,5659,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43959,71,36,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43960,72,47,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43961,46,17032,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43962,47,17077,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43963,49,5686,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43964,47,5746,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43965,74,39,2011-02-07,2011-02-14,2011-02-19,3375,1,3375
SO43966,70,40,2011-02-07,2011-02-14,2011-02-19,3400,1,3400
SO43967,48,17041,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43968,48,17068,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43969,45,17072,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43970,46,5685,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43971,49,5658,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43972,49,10940,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43973,47,17040,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43974,47,2688,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43975,47,2541,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43976,45,17064,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43977,47,5704,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43978,45,17031,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43979,56,3577,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43980,74,49,2011-02-10,2011-02-17,2011-02-22,3375,1,3375
SO43981,49,5665,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43982,66,14272,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43983,49,17018,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43984,46,2546,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43985,48,2516,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43986,45,17071,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43987,45,17043,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43988,67,245,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43989,47,17084,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43990,67,14873,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43991,45,5661,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43992,46,5639,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43993,49,5930,2011-02-14,2011-02-21,2011-02-26,3578,1,3578
SO43994,49,16682,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43995,47,10814,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43996,45,16921,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43997,45,17023,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43998,71,34,2011-02-15,2011-02-22,2011-02-27,3375,1,3375
SO43999,46,17048,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO44000,46,16919,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44001,48,17045,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44002,63,3573,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44003,66,8326,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44004,45,17062,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44005,62,15630,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44006,45,5745,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44007,55,14556,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44008,47,16679,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44009,49,16760,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44010,45,2681,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44011,45,2515,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44012,72,53,2011-02-17,2011-02-24,2011-03-01,3375,1,3375
SO44013,47,5929,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44014,48,16918,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44015,46,2694,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44016,73,248,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44017,45,17079,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44018,73,14877,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44019,45,5702,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44020,46,5932,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44021,71,33,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44022,48,11009,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44023,72,8831,2011-02-19,2011-02-26,2011-03-03,3375,1,3375
SO44024,49,5664,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44025,49,5709,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44026,45,6046,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44027,45,10922,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44028,47,6049,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44029,73,51,2011-02-20,2011-02-27,2011-03-04,3375,1,3375
SO44030,46,1132,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44031,48,2690,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44032,67,244,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44033,49,5694,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44034,48,5703,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44035,47,5708,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44036,45,6047,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44037,59,14273,2011-02-21,2011-02-28,2011-03-05,699,1,699
SO44038,67,14869,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44039,66,6972,2011-02-22,2011-03-01,2011-03-06,699,1,699
SO44040,74,58,2011-02-22,2011-03-01,2011-03-06,3375,1,3375
SO44041,48,5743,2011-02-22,2011-03-01,2011-03-06,3578,1,3578
SO44042,48,2679,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44043,46,2680,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44044,49,2691,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44045,67,17395,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44046,48,17065,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44047,67,14879,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44048,49,5714,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44049,49,2539,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44050,45,6051,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44051,45,2692,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44052,49,5638,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44053,64,8330,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44054,49,2543,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44055,45,2544,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44056,49,2560,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44057,64,3578,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44058,73,57,2011-02-26,2011-03-05,2011-03-10,3375,1,3375
SO44059,48,5689,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44060,66,14274,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44061,45,16920,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44062,45,17042,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44063,67,241,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44064,45,11051,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44065,45,17063,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44066,67,14868,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44067,45,6050,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44068,48,2542,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44069,72,17396,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44070,72,8830,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44071,48,5692,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44072,46,5657,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44073,74,45,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44134,45,2822,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44135,45,17157,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44136,46,11115,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44137,49,6329,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44138,45,2766,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44139,46,2793,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44140,46,1222,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44141,48,2573,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44142,48,11059,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44143,48,17146,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44144,47,6072,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44145,45,6310,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44146,48,6311,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44147,45,6321,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44148,45,17173,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44149,47,6243,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44150,47,6316,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44151,59,14559,2011-03-03,2011-03-10,2011-03-15,699,1,699
SO44152,69,335,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44153,47,17169,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44154,46,17182,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44155,48,17132,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44156,69,14888,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44157,49,6056,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44158,46,2568,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44159,46,17183,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44160,47,17187,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44161,49,2773,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44162,46,17186,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44163,49,17194,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44164,45,17089,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44165,48,6066,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44166,64,3582,2011-03-06,2011-03-13,2011-03-18,699,1,699
SO44167,49,6309,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44168,48,1212,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44169,46,17180,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44170,49,17184,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44171,48,17113,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44172,64,3585,2011-03-07,2011-03-14,2011-03-19,699,1,699
SO44173,47,2785,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44174,46,6230,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44175,48,6247,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44176,49,1221,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44177,73,338,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44178,47,17098,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44179,73,14889,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44180,70,59,2011-03-09,2011-03-16,2011-03-21,3400,1,3400
SO44181,47,6295,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44182,45,6300,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44183,45,17159,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44184,49,6248,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44185,45,6281,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44186,70,14890,2011-03-12,2011-03-19,2011-03-24,3400,1,3400
SO44187,48,6070,2011-03-12,2011-03-19,2011-03-24,3578,1,3578
SO44188,62,9053,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44189,56,9055,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44190,71,62,2011-03-13,2011-03-20,2011-03-25,3375,1,3375
SO44191,45,6249,2011-03-13,2011-03-20,2011-03-25,3578,1,3578
